lattice,pressure,mole_fraction,temperature
CsCl,10.19,0.29,1
CsCl,10.19,0.319,1.1
CsCl,10.19,0.362,1.2
CsCl,10.19,0.4105,1.3
CsCl,10.19,0.5,1.395
FCC,10.19,0,1.3412
FCC,10.19,0.0854,1.23
FCC,10.19,0.1062,1.2
FCC,10.19,0.1354,1.15
FCC,10.19,0.1633,1.1
FCC,10.19,0.2,1.028
PuBr3,10.19,0.255,0.935
FCC,0.0,0.2,0.5246
FCC,0.0,0.1062,0.576
FCC,30.0,0.2,1.7682
FCC,30.0,0.1633,1.9113
FCC,0.0,0.1633,0.54659
FCC,0.0,0.1345,0.56219
CsCl,30.0,0.4105,2.0731
CsCl,30.0,0.362,1.8854
CsCl,0.0,0.362,0.760507
CsCl,0.0,0.319,0.7178
CsCl,0.0,0.291,0.684107
CsCl,30.0,0.319,1.695
FCC,0.0,0.08545,0.584779
CsCl,0.0,0.4105,0.795707
CsCl,30.0,0.291,1.5762
FCC,0.0,0,0.61926
FCC,30.0,0,2.3938
FCC,30.0,0.085445,2.18
FCC,30.0,0.1354,2.01687
FCC,30.0,0.1062,2.11952
CsCl,0.0,0.5,0.8491
CsCl,30.0,0.5,2.25
PuBr3,0.0,0.255,0.543
PuBr3,30.0,0.255,1.527
